S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
11867.188584644968,1438.9917653061748,0.8107199090476446,317.60536999100833,472.95355189826284,174.6288851136954,176491.4470211472,423532.6607332067,236429.08420207462
11863.463183612428,1438.0882958163204,0.809701889736761,283.8922787853295,421.73496502002877,155.29228241121353,176532.73571924603,423594.1446949535,236451.7859571394
11860.144201666935,1437.2836422314492,0.8087957846941861,253.7362975204432,376.05622183632227,138.10250733850356,176569.64171548813,423648.9702404061,236471.97395385284
11857.187213871382,1436.5669510822424,0.8079891842941341,226.76506869555496,335.3191407238326,122.82054228610502,176602.6274341658,423697.8575492448,236489.92727980684
11854.552669202041,1435.9285703710568,0.8072710768509531,202.64479631880639,298.98997475720597,109.2340537299074,176632.10689309624,423741.4490375389,236505.89395030405
11852.205352147546,1435.3599146458982,0.8066316866625015,181.07631300073243,266.59249620445183,97.15440642317107,176658.4507166177,423780.3177342573,236520.09437728894
11850.113904536349,1434.8533456192065,0.8060623317233786,161.79153901490733,237.7018189165991,86.41401202975851,176681.99063730778,423814.9747587639,236532.72445012396
11848.250400701618,1434.4020664613217,0.8055552985392928,144.55029571641765,211.93888065469963,76.86397480009644,176703.02353737972,423845.87599522306,236543.95827168782
11846.589969911965,1434.0000281391485,0.8051037318437129,129.1374390710406,188.96551548658988,68.37200104359076,176721.81507582284,423873.4280497082,236553.95058841183
11845.110460712218,1433.6418463772306,0.8047015373283156,115.36028215472157,168.48005366458597,60.820542850775745,176738.60294290207,423897.99356672144,236562.8389485475
11843.792142444945,1433.3227279965156,0.8043432957602419,103.04627834440706,150.21339293879964,54.10514981270359,176753.59977958217,423919.8959736978,236570.7456191181
11842.61743977285,1433.0384055399406,0.8040241870803708,92.04093954959268,133.92549113861122,48.13300541680795,176766.99579576694,423939.4237147799,236577.77928859374
11841.57069650447,1432.7850792272473,0.8037399232646323,82.20596624229323,119.40223513101603,42.82162740638629,176778.9611179084,423956.8340286279,236584.0365792979
11840.637965449867,1432.5593653971787,0.8034866888904205,73.4175682452929,106.45264599770512,38.097713709775604,176789.6478935199,423972.35631919495,236589.60339086075
11839.80682140655,1432.3582506959735,0.8032610884870284,65.56495724840538,94.90638451638598,33.896117606556636,176799.1921773918,423986.19516317465,236594.556093643
11839.066194705192,1432.179051358961,0.8030600998664303,58.54899385383505,84.61152483473916,30.158937629799848,176807.71562183407,423998.53299316176,236598.96258893187
11838.406223035365,1432.0193770088945,0.8028810327317885,52.280973617989105,75.43256763182055,26.834709330621255,176815.32699103508,424009.5324913903,236602.88325082374
11837.818119528276,1431.8770984619396,0.8027214919482646,46.68153807114106,67.24866711179067,23.877687476651356,176822.12351760542,424019.33872518246,236606.37176303673
11837.294055300566,1431.7503190912478,0.802579344936207,41.67969807046865,59.952048904895534,21.24720853953965,176828.19211755466,424028.081051907,236609.4758624087
11836.827054864127,1431.637349349892,0.8024526927122739,37.21195808778716,53.446598393445925,18.9071244662645,176833.61047830383,424035.8748182646,236612.23799951884
11836.410902984828,1431.5366841005573,0.8023398441610288,33.22153116166634,47.646601165738275,16.82529974079245,176838.44803285523,424042.8228760558,236614.69592569946
11836.040061730762,1431.4469824395517,0.8022392931692007,29.657635264726885,42.475619255101684,14.97316464078854,176842.76683190625,424049.01693420735,236616.88321466575
11835.709596590348,1431.3670497381447,0.8021496982981864,26.474862760216247,37.86548856854668,13.325318391312647,176846.62232449066,424054.53876471054,236618.82972606906
