S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
0.0,1402.0319795472644,0.443582529518254,32.99993061120966,36.80518733017172,4.700441269264831,97364.1651443897,443278.03482481546,249994.8559762012
0.0,1401.9757133926244,0.44354692593207967,29.32236724394125,32.520502110377016,4.089419507846578,97368.45513536915,443282.81949916837,249995.46703356618
0.0,1401.9260403614708,0.4435154955441501,26.051143948668418,28.734251103855613,3.557826402214452,97372.26704311086,443287.0471644427,249995.9986581022
0.0,1401.8821876879508,0.44348774894459037,23.14184107178958,25.388500523439074,3.0953367165261327,97375.65369182418,443290.7826170862,249996.4611755345
0.0,1401.8434732246767,0.4434632541756007,20.554828903173085,22.43204383528692,2.692967438146725,97378.66213116351,443294.08312215423,249996.86356930764
0.0,1401.8092948065866,0.4434416299746135,18.254760340784692,19.81962146516975,2.3429032953886377,97381.33425892092,443296.99928785284,249997.2136550746
0.0,1401.77912086535,0.44342253981486884,16.210115991876958,17.511230891275,2.0383449571478596,97383.70737776523,443299.5758386433,249997.518232503
0.0,1401.7524821468091,0.44340568664869306,14.392796478238711,15.471516670344691,1.7733769658848135,97385.81469284417,443301.85229865916,249997.78321734743
0.0,1401.7289644014543,0.44339080827014865,12.777757207462205,13.669231150391361,1.5428528386983322,97387.68575638635,443303.8635958263,249998.013756353
0.0,1401.7082019333345,0.4433776732237094,11.342681324166286,12.076757690818607,1.3422951047139882,97389.34686482331,443305.64059587586,249998.21432722203
0.0,1401.6898719063615,0.4433660771943814,10.067686967575963,10.66968915541513,1.1678083371304977,97390.82141339545,443307.21057437564,249998.38882558563
0.0,1401.6736893189116,0.44335583982239163,8.935065337678688,9.42645527950131,1.0160034906755229,97392.13021270123,443308.59763396584,249998.54064066947
0.0,1401.6594025681472,0.4433468018923346,7.929046414124798,8.327993251980384,0.8839320748177619,97393.29177119513,443309.82307315216,249998.67272112326
0.0,1401.6467895347496,0.443338822852621,7.0355894827579775,7.357456507251136,0.7690288841311664,97394.32254722896,443310.9057122749,249998.78763229298
0.0,1401.6356541269217,0.4433317786263077,6.2421959066585275,6.499957300677987,0.6690621734204281,97395.23717386172,443311.86218162085,249998.8876060479
0.0,1401.625823229726,0.4433255596789992,5.537741834221671,5.7423391532684285,0.5820903098230809,97396.0486593296,443312.70717606996,249998.97458413045
0.0,1401.6171440121636,0.4433200693135685,4.912328768292763,5.0729757040629595,0.5064240599115111,97396.76856576804,443313.4536801599,249999.05025587074
